pl_hostname,pl_discmethod,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-1091,Transit,1.43474156,,,,915.,1.01,2016-05-10,
Kepler-880,Transit,7.71468975,,,,673.,1.46,2016-05-10,
Kepler-412,Transit,1.7208604,0.02897,,0.941,1056.,1.17,2015-10-15,
Kepler-427,Transit,10.290994,0.091,0.57,0.29,1100.,0.96,2014-10-03,
Kepler-1630,Transit,509.997402,,,,278.,0.66,2016-05-10,
Kepler-162,Transit,19.446355,0.137,,,,,2014-05-14,
Kepler-162,Transit,6.919798,0.069,,,,,2014-05-14,
Kepler-896,Transit,144.547396,,,,896.,0.84,2016-05-10,
Kepler-934,Transit,55.6738309,,,,603.,0.81,2016-05-10,
Kepler-890,Transit,52.75875577,,,,1387.,1.09,2016-05-10,
HD 13931,Radial Velocity,4218.,5.15,0.02,1.88,45.52,1.02,2014-05-14,21.97
Kepler-1629,Transit,3.87595807,,,,390.,1.01,2016-05-10,
Kepler-1170,Transit,9.98969327,,,,911.,0.8,2016-05-10,
Kepler-559,Transit,17.58752333,,,,793.,0.96,2016-05-10,
Kepler-1631,Transit,4.09513932,,,,1190.,0.97,2016-05-10,
Kepler-462,Transit,84.6879808,,,,733.,1.59,2016-05-10,
HD 95127,Radial Velocity,482.,1.28,0.11,5.01,332.,1.2,2015-02-05,3.06
14 Her,Radial Velocity,1773.4,2.77,0.369,4.64,18.15,0.9,2014-05-14,55.11
Kepler-1182,Transit,11.17394617,,,,1258.,1.04,2016-05-10,
Kepler-1456,Transit,18.1373829,,,,379.,0.64,2016-05-10,
Kepler-1311,Transit,11.1726994,,,,705.,1.05,2016-05-10,
Kepler-1311,Transit,2.53573424,,,,705.,1.05,2016-05-10,
Kepler-1537,Transit,1.4444538,,,,503.,0.81,2016-05-10,
Kepler-381,Transit,5.629021,0.066,,,,1.34,2014-05-14,
Kepler-381,Transit,13.391635,0.117,,,,1.34,2014-05-14,
Kepler-174,Transit,13.98179,0.1,,,,,2014-05-14,
Kepler-174,Transit,44.000529,0.214,,,,,2014-05-14,
Kepler-174,Transit,247.35373,0.677,,,,,2014-05-14,
Kepler-1286,Transit,11.25402929,,,,1150.,1.,2016-05-10,
Kepler-1621,Transit,92.263714,,,,1461.,1.15,2016-05-10,
Kepler-500,Transit,8.5083244,,,,747.,1.02,2016-05-10,
Kepler-176,Transit,51.16579,,,,,,2016-05-10,
Kepler-176,Transit,25.751974,0.163,,,,,2014-05-14,
Kepler-176,Transit,5.433074,0.058,,,,,2014-05-14,
Kepler-176,Transit,12.759712,0.102,,,,,2014-05-14,
Kepler-1290,Transit,4.69500134,,,,1321.,0.95,2016-05-10,
Kepler-502,Transit,4.28686431,,,,1433.,1.15,2016-05-10,
Kepler-1534,Transit,5.71668872,,,,1107.,0.9,2016-05-10,
Kepler-585,Transit,2.75235975,,,,604.,0.96,2016-05-10,
Kepler-175,Transit,11.903515,0.105,,,,1.04,2014-05-14,
Kepler-175,Transit,34.035257,0.213,,,,1.04,2014-05-14,
Kepler-474,Transit,5.66067294,,,,568.,0.99,2016-05-10,
Kepler-719,Transit,5.00731778,,,,1427.,0.99,2016-05-10,
Kepler-892,Transit,13.7521072,,,,640.,0.75,2016-05-10,
Kepler-139,Transit,15.771044,0.127,,,,1.08,2014-05-14,
Kepler-139,Transit,157.072878,0.586,,,,1.08,2014-05-14,
Kepler-185,Transit,1.6329,0.026,,,,0.79,2014-05-14,
Kepler-185,Transit,20.729042,0.139,,,,0.79,2014-05-14,
Kepler-1416,Transit,1.49514952,,,,807.,1.09,2016-05-10,
Kepler-1192,Transit,25.2034787,,,,1108.,0.86,2016-05-10,
Kepler-749,Transit,17.31716585,,,,753.,0.79,2016-05-10,
Kepler-1196,Transit,66.1849031,,,,946.,0.98,2016-05-10,
Kepler-893,Transit,6.33855761,,,,1216.,1.,2016-05-10,
Kepler-1632,Transit,448.303558,,,,584.,1.12,2016-05-10,
Kepler-1332,Transit,11.87456832,,,,515.,0.95,2016-05-10,
Kepler-1445,Transit,10.60052251,,,,482.,1.13,2016-05-10,
Kepler-499,Transit,5.63252845,,,,523.,0.87,2016-05-10,
Kepler-1292,Transit,3.27646405,,,,1406.,0.95,2016-05-10,
Kepler-1235,Transit,4.16055856,,,,533.,0.93,2016-05-10,
Kepler-186,Transit,13.342996,0.0781,,,172.,0.54,2014-05-14,
Kepler-186,Transit,129.9441,0.432,0.04,,172.,0.54,2015-01-14,
Kepler-186,Transit,3.8867907,0.0343,,,172.,0.54,2014-05-14,
Kepler-186,Transit,7.267302,0.0451,,,172.,0.54,2014-05-14,
Kepler-186,Transit,22.407704,0.11,,,172.,0.54,2014-05-14,
Kepler-1025,Transit,37.3229493,,,,716.,1.09,2016-05-10,
Kepler-476,Transit,14.00640607,,,,687.,1.03,2016-05-10,
HD 99706,Radial Velocity,868.,2.14,0.365,1.4,130.89,1.72,2014-05-14,7.64
Kepler-128,Transit,15.09,,,0.097,,1.18,2014-05-14,
Kepler-128,Transit,22.804,,,0.105,,1.18,2014-05-14,
Kepler-1476,Transit,10.35863224,,,,1218.,0.98,2016-05-10,
Kepler-521,Transit,22.20813214,,,,737.,1.34,2016-05-10,
Kepler-750,Transit,4.08899022,,,,1181.,1.15,2016-05-10,
Kepler-750,Transit,9.42887179,,,,1181.,1.15,2016-05-10,
Kepler-357,Transit,6.475434,0.063,,,,0.78,2014-05-14,
Kepler-357,Transit,49.499875,0.246,,,,0.78,2014-05-14,
Kepler-357,Transit,16.85837,0.12,,,,0.78,2014-05-14,
Kepler-1460,Transit,29.9633247,,,,574.,0.7,2016-05-10,
GJ 15 A,Radial Velocity,11.4433,0.0717,0.,0.017,3.57,0.38,2014-09-18,280.27
Kepler-55,Transit,4.617534,0.048,,,,0.62,2014-05-14,
Kepler-55,Transit,27.9481449,,,1.49,,0.62,2014-05-14,
Kepler-55,Transit,10.198545,0.081,,,,0.62,2014-05-14,
Kepler-55,Transit,42.1516418,,,1.11,,0.62,2014-05-14,
Kepler-55,Transit,2.211099,0.029,,,,0.62,2014-05-14,
Kepler-437,Transit,66.65062,0.288,0.02,,417.,0.71,2015-01-06,
Kepler-946,Transit,11.79162572,,,,918.,0.94,2016-05-10,
Kepler-439,Transit,178.1396,0.563,0.03,,693.,0.88,2015-01-06,
Kepler-5,Transit,3.5484657,0.0538,,2.111,,1.37,2015-10-15,
Kepler-645,Transit,3.27582262,,,,901.,1.13,2016-05-10,
HD 132563,Radial Velocity,1544.,2.62,0.22,1.49,98.52,,2014-05-14,10.15
Kepler-985,Transit,116.331901,,,,741.,0.91,2016-05-10,
Kepler-1106,Transit,1.25275217,,,,1168.,1.11,2016-05-10,
Kepler-522,Transit,38.58422849,,,,749.,1.54,2016-05-10,
Kepler-751,Transit,17.44490636,,,,748.,0.87,2016-05-10,
Kepler-1142,Transit,18.3027248,,,,697.,0.97,2016-05-10,
Kepler-1100,Transit,6.42200058,,,,940.,1.21,2016-05-10,
Kepler-327,Transit,2.549575,0.029,,,,0.55,2014-05-14,
Kepler-327,Transit,13.969457,0.09,,,,0.55,2014-05-14,
Kepler-327,Transit,5.212333,0.047,,,,0.55,2014-05-14,
Kepler-187,Transit,4.938864,0.059,,,,0.85,2014-05-14,
Kepler-187,Transit,10.640263,0.099,,,,0.85,2014-05-14,
Kepler-251,Transit,16.514043,0.122,,,,0.91,2014-05-14,
Kepler-251,Transit,4.790936,0.053,,,,0.91,2014-05-14,
Kepler-251,Transit,99.640161,0.404,,,,0.91,2014-05-14,
Kepler-251,Transit,30.133001,0.182,,,,0.91,2014-05-14,
Kepler-1152,Transit,1.64680191,,,,184.,0.55,2016-05-10,
Kepler-1014,Transit,16.57110363,,,,672.,0.88,2016-05-10,
Kepler-1116,Transit,41.6977827,,,,1017.,0.95,2016-05-10,
Kepler-91,Transit,6.24658,0.0731,,0.81,1030.,1.31,2015-10-15,
Kepler-1200,Transit,1.11854972,,,,579.,0.74,2016-05-10,
Kepler-1038,Transit,148.4603382,,,,622.,0.87,2016-05-10,
Kepler-250,Transit,4.148141,0.048,,,,0.8,2014-05-14,
Kepler-250,Transit,17.648312,0.127,,,,0.8,2014-05-14,
Kepler-250,Transit,7.156804,0.069,,,,0.8,2014-05-14,
Kepler-761,Transit,10.12804789,,,,867.,0.95,2016-05-10,
Kepler-321,Transit,13.093921,0.11,,,,1.01,2014-05-14,
Kepler-321,Transit,4.915379,0.057,,,,1.01,2014-05-14,
Kepler-1010,Transit,34.2685705,,,,610.,0.86,2016-05-10,
Kepler-942,Transit,44.96417488,,,,218.,0.81,2016-05-10,
Kepler-1285,Transit,14.7967458,,,,364.,1.2,2016-05-10,
Kepler-1341,Transit,132.9968322,,,,466.,0.79,2016-05-10,
Kepler-1118,Transit,38.6715075,,,,818.,0.96,2016-05-10,
Kepler-266,Transit,107.723601,0.457,,,,0.99,2014-05-14,
Kepler-266,Transit,6.61833,0.071,,,,0.99,2014-05-14,
Kepler-720,Transit,4.70832654,,,,880.,0.95,2016-05-10,
Kepler-1203,Transit,0.58800076,,,,269.,0.64,2016-05-10,
Kepler-760,Transit,2.46697439,,,,782.,0.89,2016-05-10,
Kepler-760,Transit,8.70419416,,,,782.,0.89,2016-05-10,
Kepler-316,Transit,2.240508,0.027,,,,0.53,2014-05-14,
Kepler-316,Transit,6.827766,0.058,,,,0.53,2014-05-14,
Kepler-126,Transit,100.283134,0.448,,,,,2014-05-14,
Kepler-126,Transit,21.869741,0.162,,,,,2014-05-14,
Kepler-126,Transit,10.495711,0.099,,,,,2014-05-14,
Kepler-778,Transit,3.75574426,,,,899.,0.81,2016-05-10,
Kepler-1136,Transit,2.36172433,,,,545.,0.72,2016-05-10,
HD 40979,Radial Velocity,264.15,0.846,0.252,4.01,33.3,1.15,2014-05-14,
Kepler-1539,Transit,133.3036741,,,,788.,0.84,2016-05-10,
Kepler-452,Transit,384.843,1.046,,,,1.04,2015-07-23,
Kepler-271,Transit,5.24972541,,,,,,2016-05-10,
Kepler-271,Transit,7.410935,0.071,,,,,2014-05-14,
Kepler-271,Transit,5.217738,0.056,,,,,2014-05-14,
Kepler-780,Transit,0.67737516,,,,520.,1.01,2016-05-10,
Kepler-322,Transit,1.653888,0.027,,,,0.91,2014-05-14,
Kepler-322,Transit,4.337234,0.051,,,,0.91,2014-05-14,
HD 96127,Radial Velocity,647.3,1.4,0.3,4.,221.24,0.91,2015-05-14,1.85
Kepler-189,Transit,10.399931,0.088,,,,0.79,2014-05-14,
Kepler-189,Transit,20.134866,0.137,,,,0.79,2014-05-14,
Kepler-779,Transit,7.09714223,,,,224.,0.46,2016-05-10,
Kepler-188,Transit,2.061897,0.032,,,,,2014-05-14,
Kepler-188,Transit,5.996553,0.066,,,,,2014-05-14,
Kepler-1119,Transit,8.3265153,,,,1288.,1.11,2016-05-10,
kap And,Imaging,,55.,,13.616,52.03,2.6,2014-05-14,19.22
Kepler-106,Transit,6.16486,,,0.0005,,1.,2014-05-14,
Kepler-106,Transit,23.9802,,,0.025,,1.,2014-05-14,
Kepler-106,Transit,13.5708,,,0.033,,1.,2014-05-14,
Kepler-106,Transit,43.8445,,,0.035,,1.,2014-05-14,
Kepler-547,Transit,6.01038429,,,,361.,0.78,2016-05-10,
Kepler-77,Transit,3.57878087,0.04501,0.,0.43,570.,0.95,2014-05-14,
Kepler-777,Transit,5.72812599,,,,383.,0.58,2016-05-10,
Kepler-1249,Transit,24.3347127,,,,1674.,1.19,2016-05-10,
Kepler-606,Transit,24.31575992,,,,1208.,1.13,2016-05-10,
Kepler-79,Transit,52.0902,0.287,0.025,0.019,,1.17,2016-03-10,
Kepler-79,Transit,81.0659,0.386,0.012,0.013,,1.17,2016-03-10,
Kepler-79,Transit,13.4845,0.117,0.015,0.0343,,1.17,2016-03-10,
Kepler-79,Transit,27.4029,0.187,0.03,0.019,,1.17,2016-03-10,
Kepler-646,Transit,15.87364565,,,,513.,0.93,2016-05-10,
Kepler-993,Transit,22.08557563,,,,298.,0.57,2016-05-10,
Kepler-95,Transit,11.5231,,,0.041,,1.08,2014-05-14,
Kepler-436,Transit,64.00205,0.339,0.19,,618.,0.73,2015-01-06,
Kepler-436,Transit,16.79713874,,,,618.,0.73,2016-05-10,
Kepler-1604,Transit,0.68368426,,,,562.,0.81,2016-05-10,
Kepler-1328,Transit,4.52158888,,,,630.,1.,2016-05-10,
Kepler-1619,Transit,23.6225913,,,,520.,1.,2016-05-10,
Kepler-270,Transit,25.262887,0.18,,,,,2014-05-14,
Kepler-270,Transit,11.476094,0.107,,,,,2014-05-14,
Kepler-1013,Transit,18.93054959,,,,433.,0.81,2016-05-10,
Kepler-78,Transit,0.355,,0.,0.006,,0.76,2014-05-14,
Kepler-1593,Transit,174.509835,,,,755.,0.81,2016-05-10,
Kepler-1489,Transit,82.294751,,,,870.,0.93,2016-05-10,
Kepler-1512,Transit,20.35972599,,,,162.,0.73,2016-05-10,
HD 216536,Radial Velocity,148.6,0.609,0.38,1.47,,1.36,2015-02-05,
Kepler-721,Transit,5.39202539,,,,848.,0.82,2016-05-10,
Kepler-1294,Transit,115.6862258,,,,1120.,0.99,2016-05-10,
Kepler-37,Transit Timing Variations,51.196,,,,66.,0.8,2014-05-28,
Kepler-37,Transit,13.367308,0.1003,,,66.,0.8,2014-05-14,
Kepler-37,Transit,21.301886,0.1368,,,66.,0.8,2014-05-14,
Kepler-37,Transit,39.792187,0.2076,,,66.,0.8,2014-05-14,
Kepler-498,Transit,9.61375356,,,,746.,0.98,2016-05-10,
Kepler-1516,Transit,7.25931979,,,,872.,1.04,2016-05-10,
Kepler-1090,Transit,198.680179,,,,702.,0.86,2016-05-10,
Kepler-145,Transit,42.882,,,0.25,,1.32,2014-05-14,
Kepler-145,Transit,22.951,,,0.117,,1.32,2014-05-14,
Kepler-1218,Transit,22.9221266,,,,667.,1.06,2016-05-10,
Kepler-252,Transit,6.668391,0.058,,,,0.52,2014-05-14,
Kepler-252,Transit,10.848463,0.08,,,,0.52,2014-05-14,
Kepler-1223,Transit,16.301259,,,,455.,0.8,2016-05-10,
Kepler-1208,Transit,11.08507637,,,,877.,0.8,2016-05-10,
Kepler-1054,Transit,4.30655689,,,,1050.,1.22,2016-05-10,
Kepler-722,Transit,4.09357325,,,,1375.,1.03,2016-05-10,
Kepler-722,Transit,105.144749,,,,1375.,1.03,2016-05-10,
Kepler-1585,Transit,3.5827463,,,,1269.,0.94,2016-05-10,
Kepler-647,Transit,16.2254649,,,,789.,1.03,2016-05-10,
Kepler-1591,Transit,8.18504949,,,,1090.,1.1,2016-05-10,
Kepler-388,Transit,3.173315,0.036,,,,0.59,2014-05-14,
Kepler-388,Transit,13.297004,0.093,,,,0.59,2014-05-14,
Kepler-1033,Transit,7.56052806,,,,1425.,0.94,2016-05-10,
Kepler-1466,Transit,31.1750448,,,,686.,1.01,2016-05-10,
Kepler-349,Transit,12.247629,0.105,,,,0.97,2014-05-14,
Kepler-349,Transit,5.929778,0.065,,,,0.97,2014-05-14,
Kepler-42,Transit,0.45328509,0.006,,,38.7,0.13,2014-05-14,
Kepler-42,Transit,1.865169,0.0154,,,38.7,0.13,2014-05-14,
Kepler-42,Transit,1.2137672,0.0116,,,38.7,0.13,2014-05-14,
Kepler-953,Transit,9.10967112,,,,240.,0.95,2016-05-10,
Kepler-953,Transit,88.40655258,,,,240.,0.95,2016-05-10,
Kepler-607,Transit,0.6381632,,,,500.,0.84,2016-05-10,
Kepler-608,Transit,6.41251504,,,,926.,1.,2016-05-10,
Kepler-34,Transit,288.822,1.0896,0.182,0.22,1499.,1.05,2014-05-14,
Kepler-213,Transit,4.822962,0.057,,,,0.94,2014-05-14,
Kepler-213,Transit,2.46236,0.036,,,,0.94,2014-05-14,
Kepler-1202,Transit,28.6851324,,,,1393.,1.03,2016-05-10,
Kepler-57,Transit,11.6092567,,,6.95,,0.83,2014-05-14,
Kepler-57,Transit,5.7293196,,,18.86,,0.83,2014-05-14,
Kepler-723,Transit,4.08227507,,,,965.,0.92,2016-05-10,
Kepler-801,Transit,11.41928253,,,,419.,0.67,2016-05-10,
Kepler-1256,Transit,12.4127754,,,,862.,1.17,2016-05-10,
Kepler-111,Transit,224.784608,0.761,,,,,2014-05-14,
Kepler-111,Transit,3.341815,0.046,,,,,2014-05-14,
Kepler-1237,Transit,84.5733226,,,,1121.,0.94,2016-05-10,
Kepler-803,Transit,50.28638192,,,,615.,1.05,2016-05-10,
KIC 8540376,Transit,75.2,,,,,1.04,2016-01-05,
KIC 8540376,Transit,31.8099,,,,,1.04,2016-01-05,
Kepler-609,Transit,6.52121067,,,,1143.,1.09,2016-05-10,
Kepler-1165,Transit,9.478522,,,,1081.,1.13,2016-05-10,
Kepler-1533,Transit,308.5471,,,,852.,1.31,2016-05-10,
Kepler-190,Transit,2.019999,0.03,,,,0.84,2014-05-14,
Kepler-190,Transit,3.763024,0.045,,,,0.84,2014-05-14,
Kepler-1485,Transit,19.9157725,,,,550.,1.11,2016-05-10,
Kepler-18,Transit,3.504725,0.0447,0.,0.022,,0.97,2014-05-14,
Kepler-18,Transit,14.85888,0.1172,0.,0.052,,0.97,2014-05-14,
Kepler-18,Transit,7.64159,0.0752,0.,0.054,,0.97,2014-05-14,
Kepler-1643,Transit,5.34264507,,,,414.,0.92,2016-05-10,
Kepler-1475,Transit,82.177374,,,,1714.,1.18,2016-05-10,
Kepler-1135,Transit,76.957857,,,,728.,0.96,2016-05-10,
Kepler-1389,Transit,99.2530951,,,,521.,0.81,2016-05-10,
Kepler-281,Transit,14.646008,0.117,,,,0.98,2014-05-14,
Kepler-281,Transit,36.337373,0.215,,,,0.98,2014-05-14,
Kepler-360,Transit,7.186434,0.075,,,,0.95,2014-05-14,
Kepler-360,Transit,3.289672,0.044,,,,0.95,2014-05-14,
Kepler-384,Transit,22.597053,0.148,,,,0.76,2014-05-14,
Kepler-384,Transit,45.348269,0.236,,,,0.76,2014-05-14,
Kepler-804,Transit,9.65185017,,,,648.,1.01,2016-05-10,
Kepler-804,Transit,14.37457351,,,,648.,1.01,2016-05-10,
Kepler-724,Transit,3.31494634,,,,862.,0.9,2016-05-10,
Kepler-800,Transit,14.13176026,,,,1049.,0.85,2016-05-10,
Kepler-282,Transit,44.347,,,0.177,,0.97,2014-05-14,
Kepler-282,Transit,13.638723,0.106,,,,0.97,2014-05-14,
Kepler-282,Transit,9.220524,0.082,,,,0.97,2014-05-14,
Kepler-282,Transit,24.806,,,0.192,,0.97,2014-05-14,
Kepler-330,Transit,15.955387,0.116,,,,0.78,2014-05-14,
Kepler-330,Transit,8.25978,0.075,,,,0.78,2014-05-14,
Kepler-725,Transit,39.64317811,,,,778.,0.88,2016-05-10,
Kepler-1198,Transit,7.6847716,,,,777.,0.93,2016-05-10,
Kepler-1372,Transit,1.31155557,,,,1161.,0.98,2016-05-10,
Kepler-806,Transit,8.09219642,,,,260.,0.99,2016-05-10,
Kepler-463,Transit,8.98101683,,,,336.,0.87,2016-05-10,
Kepler-253,Transit,18.119869,0.13,,,,,2014-05-14,
Kepler-253,Transit,10.281951,0.089,,,,,2014-05-14,
Kepler-253,Transit,3.783986,0.046,,,,,2014-05-14,
Kepler-69,Transit,242.4613,0.64,0.14,,,0.81,2014-05-14,
Kepler-69,Transit,13.722341,0.094,0.16,,,0.81,2014-05-14,
Kepler-1273,Transit,28.625653,,,,1355.,0.94,2016-05-10,
Kepler-540,Transit,172.7049784,,,,350.,1.02,2016-05-10,
Kepler-1003,Transit,3.55485691,,,,873.,1.11,2016-05-10,
Kepler-799,Transit,133.4605235,,,,1029.,0.95,2016-05-10,
Kepler-726,Transit,21.80451088,,,,838.,0.88,2016-05-10,
Kepler-914,Transit,4.40966548,,,,678.,1.1,2016-05-10,
Kepler-389,Transit,3.244107,0.041,,,,0.78,2014-05-14,
Kepler-389,Transit,14.51143,0.11,,,,0.78,2014-05-14,
HAT-P-36,Transit,1.327347,0.0238,0.063,1.832,317.,1.02,2014-05-14,
Kepler-1498,Transit,48.051405,,,,740.,0.86,2016-05-10,
Kepler-1396,Transit,18.2206421,,,,1236.,1.18,2016-05-10,
Kepler-446,Transit,3.036179,,0.,,120.,0.22,2015-01-14,
Kepler-446,Transit,5.148921,,0.,,120.,0.22,2015-01-14,
Kepler-446,Transit,1.565409,,0.,,120.,0.22,2015-01-14,
Kepler-1435,Transit,4.45343281,,,,681.,1.21,2016-05-10,
Kepler-1633,Transit,186.404271,,,,811.,1.2,2016-05-10,
Kepler-1586,Transit,15.6049212,,,,864.,1.45,2016-05-10,
Kepler-420,Transit,86.647661,0.382,0.772,1.45,900.,0.99,2014-06-25,
Kepler-1275,Transit,3.65691115,,,,1280.,1.23,2016-05-10,
Kepler-1055,Transit,2.29503623,,,,422.,0.98,2016-05-10,
Kepler-1008,Transit,12.43931193,,,,299.,0.81,2016-05-10,
Kepler-214,Transit,15.660544,0.13,,,,,2014-05-14,
Kepler-214,Transit,28.7798,0.194,,,,,2014-05-14,
Kepler-406,Transit,4.62332,,,0.009,,1.07,2014-05-14,
Kepler-406,Transit,2.42629,,,0.02,,1.07,2014-05-14,
Kepler-1518,Transit,5.11177904,,,,1140.,1.54,2016-05-10,
Kepler-802,Transit,40.0587473,,,,828.,0.93,2016-05-10,
Kepler-983,Transit,60.0855082,,,,655.,1.13,2016-05-10,
Kepler-648,Transit,17.4211749,,,,665.,1.05,2016-05-10,
Kepler-560,Transit,18.47764449,,,,88.,0.34,2016-05-10,
Kepler-727,Transit,5.15448442,,,,892.,0.89,2016-05-10,
Kepler-963,Transit,9.97683705,,,,786.,0.91,2016-05-10,
Kepler-1067,Transit,0.76212926,,,,689.,0.95,2016-05-10,
Kepler-177,Transit,36.855,,,0.006,,1.07,2014-05-14,
Kepler-177,Transit,49.412,,,0.024,,1.07,2014-05-14,
Kepler-805,Transit,30.8638931,,,,657.,1.19,2016-05-10,
Kepler-980,Transit,11.55102504,,,,804.,1.05,2016-05-10,
Kepler-610,Transit,151.86392,,,,1113.,1.1,2016-05-10,
Kepler-610,Transit,6.99692655,,,,1113.,1.1,2016-05-10,
Kepler-1045,Transit,26.41045478,,,,971.,0.86,2016-05-10,
Kepler-649,Transit,29.90722674,,,,525.,0.97,2016-05-10,
Kepler-1450,Transit,54.5094166,,,,490.,0.71,2016-05-10,
Kepler-1394,Transit,3.93766373,,,,820.,1.64,2016-05-10,
Kepler-421,Transit,704.1984,1.219,0.041,,320.,0.79,2014-07-23,
Kepler-561,Transit,5.35016198,,,,667.,0.96,2016-05-10,
Kepler-561,Transit,58.3620495,,,,667.,0.96,2016-05-10,
Kepler-1427,Transit,0.96897238,,,,1220.,1.01,2016-05-10,
Kepler-728,Transit,5.74347727,,,,1236.,0.95,2016-05-10,
Kepler-395,Transit,7.054346,0.061,,,,0.53,2014-05-14,
Kepler-395,Transit,34.989262,0.177,,,,0.53,2014-05-14,
Kepler-1634,Transit,374.876239,,,,654.,0.92,2016-05-10,
Kepler-410 A,Transit,17.833648,0.1226,0.17,,132.,1.21,2014-05-14,
Kepler-1149,Transit,3.73089898,,,,1023.,1.02,2016-05-10,
Kepler-650,Transit,3.03214559,,,,805.,1.08,2016-05-10,
WASP-58,Transit,5.01718,0.0561,0.,0.89,300.,0.94,2014-05-14,
Kepler-1374,Transit,10.65276707,,,,1135.,0.85,2016-05-10,
Kepler-1346,Transit,3.40165668,,,,1123.,1.14,2016-05-10,
Kepler-834,Transit,13.32388301,,,,620.,0.7,2016-05-10,
Kepler-393,Transit,9.182417,0.091,,,,1.32,2014-05-14,
Kepler-393,Transit,14.613612,0.124,,,,1.32,2014-05-14,
Kepler-1314,Transit,5.42474928,,,,462.,0.6,2016-05-10,
Kepler-1083,Transit,33.4177993,,,,912.,0.81,2016-05-10,
Kepler-1159,Transit,22.70816791,,,,1238.,1.19,2016-05-10,
Kepler-1264,Transit,0.96852602,,,,814.,0.99,2016-05-10,
Kepler-215,Transit,68.16101,0.314,,,,0.77,2014-05-14,
Kepler-215,Transit,30.864423,0.185,,,,0.77,2014-05-14,
Kepler-215,Transit,9.360672,0.084,,,,0.77,2014-05-14,
Kepler-215,Transit,14.667108,0.113,,,,0.77,2014-05-14,
Kepler-329,Transit,7.416397,0.061,,,,0.53,2014-05-14,
Kepler-329,Transit,18.684737,0.113,,,,0.53,2014-05-14,
Kepler-839,Transit,37.8144514,,,,833.,1.22,2016-05-10,
Kepler-1071,Transit,6.1799844,,,,964.,0.86,2016-05-10,
Kepler-115,Transit,8.990889,0.087,,,,1.,2014-05-14,
Kepler-115,Transit,2.403679,0.036,,,,1.,2014-05-14,
Kepler-1176,Transit,24.1738579,,,,1023.,1.01,2016-05-10,
Kepler-1538,Transit,175.138819,,,,1291.,1.03,2016-05-10,
Kepler-85,Transit,8.306,,,,,0.92,2014-05-14,
Kepler-85,Transit,25.216751,0.163,,,,0.92,2014-05-14,
Kepler-85,Transit,17.91323,0.13,,,,0.92,2014-05-14,
Kepler-85,Transit,12.513,,,,,0.92,2014-05-14,
Kepler-1616,Transit,6.76284377,,,,862.,1.21,2016-05-10,
Kepler-1039,Transit,0.93488424,,,,324.,0.79,2016-05-10,
Kepler-191,Transit,9.939632,0.087,,,,0.85,2014-05-14,
Kepler-191,Transit,17.738506,0.128,,,,0.85,2014-05-14,
Kepler-191,Transit,5.94504102,,,,,0.85,2016-05-10,
Kepler-1269,Transit,37.3331536,,,,710.,1.1,2016-05-10,
Kepler-1467,Transit,47.0569043,,,,890.,0.86,2016-05-10,
Kepler-404,Transit,14.751166,0.118,,,,,2014-05-14,
Kepler-404,Transit,11.829851,0.102,,,,,2014-05-14,
Kepler-62,Transit,18.16406,0.12,,0.044,368.,0.69,2014-05-14,
Kepler-62,Transit,12.4417,0.0929,,0.013,368.,0.69,2014-05-14,
Kepler-62,Transit,5.714932,0.0553,,0.03,368.,0.69,2014-05-14,
Kepler-62,Transit,267.291,0.718,,0.11,368.,0.69,2014-05-14,
Kepler-62,Transit,122.3874,0.427,,0.113,368.,0.69,2014-05-14,
Kepler-1496,Transit,64.6588017,,,,1293.,1.18,2016-05-10,
Kepler-295,Transit,21.526258,0.142,,,,,2014-05-14,
Kepler-295,Transit,33.884054,0.192,,,,,2014-05-14,
Kepler-295,Transit,12.645164,0.099,,,,,2014-05-14,
Kepler-909,Transit,13.93290318,,,,318.,1.17,2016-05-10,
Kepler-832,Transit,7.1396941,,,,1346.,0.92,2016-05-10,
Kepler-1130,Transit,5.45298175,,,,234.,0.9,2016-05-10,
Kepler-1280,Transit,66.5579057,,,,1006.,1.2,2016-05-10,
Kepler-368,Transit,72.379334,0.36,,,,0.71,2014-05-14,
Kepler-368,Transit,26.84768,0.186,,,,0.71,2014-05-14,
Kepler-1610,Transit,8.70181574,,,,1063.,0.91,2016-05-10,
Kepler-1018,Transit,49.1013514,,,,894.,0.91,2016-05-10,
Kepler-729,Transit,3.16635371,,,,1271.,0.94,2016-05-10,
Kepler-1408,Transit,2.99793191,,,,426.,1.21,2016-05-10,
Kepler-335,Transit,6.562331,0.075,,,,0.99,2014-05-14,
Kepler-335,Transit,67.844469,0.356,,,,0.99,2014-05-14,
Kepler-1162,Transit,32.5637069,,,,989.,0.89,2016-05-10,
Kepler-1322,Transit,0.96286738,,,,1217.,0.9,2016-05-10,
Kepler-548,Transit,4.45419434,,,,776.,0.93,2016-05-10,
Kepler-1486,Transit,54.6495759,,,,1465.,1.08,2016-05-10,
Kepler-1161,Transit,10.71252541,,,,428.,0.59,2016-05-10,
Kepler-1400,Transit,9.06689421,,,,879.,0.83,2016-05-10,
HAT-P-40,Transit,4.457243,0.0608,0.,0.615,501.,1.51,2014-05-14,
Kepler-611,Transit,2.4370333,,,,906.,1.01,2016-05-10,
