pl_hostname,pl_orbper,pl_orbsmax,pl_orbeccen,pl_bmassj,st_dist,st_mass,rowupdate,st_plx
Kepler-1636,425.47785,,,,1567.,1.01,2016-05-10,
Kepler-1274,6.98152703,,,,609.,1.45,2016-05-10,
Kepler-949,8.6893073,,,,572.,0.89,2016-05-10,
Kepler-1012,5.50860439,,,,420.,0.95,2016-05-10,
Kepler-652,4.18200253,,,,423.,0.97,2016-05-10,
Kepler-1385,2.88879862,,,,527.,1.15,2016-05-10,
Kepler-1169,6.11009134,,,,538.,1.24,2016-05-10,
Kepler-862,3.14866453,,,,806.,0.88,2016-05-10,
Kepler-445,8.15275,,0.,,90.,0.18,2015-01-14,
Kepler-445,2.984151,,0.,,90.,0.18,2015-01-14,
Kepler-445,4.871229,,0.,,90.,0.18,2015-01-14,
Kepler-1413,13.1829642,,,,1162.,0.84,2016-05-10,
Kepler-1066,1.93155984,,,,399.,0.98,2016-05-10,
Kepler-1244,3.70428172,,,,764.,1.46,2016-05-10,
Kepler-877,18.45847097,,,,572.,0.85,2016-05-10,
Kepler-1507,16.0506213,,,,342.,0.89,2016-05-10,
Kepler-26,17.2559,,,0.01951,,0.54,2016-04-07,
Kepler-26,3.543919,0.039,,,,0.54,2014-05-14,
Kepler-26,12.28,,,0.01611,,0.54,2016-04-07,
Kepler-26,46.827915,0.22,,,,0.54,2014-05-14,
Kepler-738,24.58721573,,,,992.,0.86,2016-05-10,
Kepler-1528,1.79111021,,,,916.,1.03,2016-05-10,
Kepler-32,2.896,0.033,,,303.,0.58,2016-03-24,
Kepler-32,5.90124,0.05,,4.1,303.,0.58,2016-03-24,
Kepler-32,0.74296,0.013,,,303.,0.58,2016-03-24,
Kepler-32,22.7802,0.13,,,303.,0.58,2016-03-24,
Kepler-32,8.7522,0.09,,0.5,303.,0.58,2016-03-24,
Kepler-193,50.697494,0.286,,,,,2014-05-14,
Kepler-193,11.38848,0.106,,,,,2014-05-14,
Kepler-739,12.53248465,,,,1128.,0.93,2016-05-10,
Kepler-258,13.19722,0.103,,,,0.8,2014-05-14,
Kepler-258,33.653079,0.193,,,,0.8,2014-05-14,
Kepler-982,15.7738221,,,,702.,1.16,2016-05-10,
Kepler-1052,34.8538276,,,,1051.,1.03,2016-05-10,
Kepler-878,25.9422033,,,,567.,0.81,2016-05-10,
Kepler-259,8.115317,0.079,,,,,2014-05-14,
Kepler-259,36.924931,0.217,,,,,2014-05-14,
Kepler-741,7.03902374,,,,1530.,1.16,2016-05-10,
Kepler-1247,13.71220213,,,,1094.,0.86,2016-05-10,
Kepler-935,4.88083852,,,,482.,0.78,2016-05-10,
Kepler-564,3.75083228,,,,830.,0.95,2016-05-10,
Kepler-59,11.8681707,,,2.05,,1.04,2014-05-14,
Kepler-59,17.9801235,,,1.37,,1.04,2014-05-14,
Kepler-1321,11.12830484,,,,547.,0.54,2016-05-10,
Kepler-1321,2.22649109,,,,547.,0.54,2016-05-10,
Kepler-1564,18.0540381,,,,872.,0.93,2016-05-10,
Kepler-1377,0.74092842,,,,1019.,0.86,2016-05-10,
Kepler-1391,54.4092333,,,,721.,1.03,2016-05-10,
Kepler-1233,45.1263042,,,,1281.,1.16,2016-05-10,
Kepler-1044,6.77408868,,,,1507.,1.08,2016-05-10,
Kepler-43,3.0240949,0.046,,3.23,1950.,1.32,2015-10-15,
Kepler-881,4.44448017,,,,1364.,1.06,2016-05-10,
Kepler-868,5.03251791,,,,1269.,0.93,2016-05-10,
Kepler-1350,4.4968604,,,,350.,0.55,2016-05-10,
Kepler-1350,1.76678906,,,,350.,0.55,2016-05-10,
Kepler-66,17.815815,0.1352,,,1107.,1.04,2014-05-14,
HAT-P-32,2.15000805,0.0343,0.0072,,283.,,2014-10-15,
Kepler-35,131.458,0.60347,0.042,0.127,1645.,0.89,2014-05-14,
Kepler-740,3.58410122,,,,1262.,0.91,2016-05-10,
Kepler-1252,15.0540329,,,,828.,1.06,2016-05-10,
Kepler-1282,2.13194651,,,,1126.,0.92,2016-05-10,
Kepler-905,5.08274652,,,,521.,0.95,2016-05-10,
Kepler-937,153.343364,,,,1482.,1.15,2016-05-10,
Kepler-937,67.668827,,,,1482.,1.15,2016-05-10,
Kepler-653,0.90037648,,,,593.,1.02,2016-05-10,
Kepler-653,14.70748976,,,,593.,1.02,2016-05-10,
Kepler-1572,5.49548621,,,,600.,0.97,2016-05-10,
Kepler-1446,0.68996783,,,,162.,0.81,2016-05-10,
Kepler-342,1.64422461,,,,,1.13,2016-05-10,
Kepler-342,39.459357,0.242,,,,1.13,2014-05-14,
Kepler-342,15.170318,0.128,,,,1.13,2014-05-14,
Kepler-342,26.234138,0.185,,,,1.13,2014-05-14,
Kepler-976,105.9564148,,,,1020.,0.87,2016-05-10,
Kepler-936,10.56134221,,,,687.,0.92,2016-05-10,
Kepler-361,8.486616,0.086,,,,1.07,2014-05-14,
Kepler-361,55.188023,0.3,,,,1.07,2014-05-14,
Kepler-1307,18.01621096,,,,1396.,1.06,2016-05-10,
Kepler-1562,64.2737752,,,,1315.,1.02,2016-05-10,
Kepler-403,7.031462,0.076,,,,,2014-05-14,
Kepler-403,54.280749,0.297,,,,,2014-05-14,
Kepler-403,13.61159129,,,,,,2016-05-10,
Kepler-960,3.12686223,,,,298.,0.77,2016-05-10,
Kepler-1263,4.55139967,,,,695.,0.84,2016-05-10,
Kepler-219,22.714613,0.165,,,,,2014-05-14,
Kepler-219,47.903645,0.272,,,,,2014-05-14,
Kepler-219,4.585512,0.057,,,,,2014-05-14,
Kepler-1436,9.705716,,,,1142.,1.06,2016-05-10,
Kepler-140,3.25427,0.045,,,,,2014-05-14,
Kepler-140,91.353282,0.414,,,,,2014-05-14,
Kepler-1598,4.34195123,,,,734.,1.07,2016-05-10,
Kepler-742,8.36086824,,,,499.,0.76,2016-05-10,
Kepler-318,4.662715,0.056,,,,1.05,2014-05-14,
Kepler-318,11.815007,0.105,,,,1.05,2014-05-14,
Kepler-1337,24.4002549,,,,588.,0.7,2016-05-10,
Kepler-1175,37.94563,,,,1244.,0.9,2016-05-10,
Kepler-1011,5.75322197,,,,860.,0.91,2016-05-10,
Kepler-654,13.72465129,,,,661.,1.04,2016-05-10,
Kepler-221,5.690586,0.059,,,,0.72,2014-05-14,
Kepler-221,2.795906,0.037,,,,0.72,2014-05-14,
Kepler-221,10.04156,0.087,,,,0.72,2014-05-14,
Kepler-221,18.369917,0.13,,,,0.72,2014-05-14,
Kepler-616,9.99761851,,,,1019.,0.98,2016-05-10,
Kepler-616,90.4113556,,,,1019.,0.98,2016-05-10,
Kepler-1557,3.74032496,,,,1532.,1.11,2016-05-10,
Kepler-655,46.4063358,,,,783.,1.15,2016-05-10,
Kepler-409,68.9584,,,0.008,,0.92,2014-05-14,
Kepler-148,1.729366,0.028,,,,,2014-05-14,
Kepler-148,4.180043,0.05,,,,,2014-05-14,
Kepler-148,51.84688575,,,,,,2016-05-10,
KOI-13,1.763588,0.03641,0.00064,9.28,,1.72,2015-10-15,
Kepler-898,5.8706191,,,,479.,0.65,2016-05-10,
Kepler-990,0.53835431,,,,933.,1.05,2016-05-10,
Kepler-990,9.91723428,,,,933.,1.05,2016-05-10,
Kepler-220,28.122397,0.163,,,,,2014-05-14,
Kepler-220,45.902733,0.226,,,,,2014-05-14,
Kepler-220,9.034199,0.076,,,,,2014-05-14,
Kepler-220,4.159807,0.046,,,,,2014-05-14,
Kepler-178,20.552802,0.142,,,,,2014-05-14,
Kepler-178,96.678988,0.397,,,,,2014-05-14,
Kepler-178,9.576694,0.085,,,,,2014-05-14,
Kepler-1056,27.495606,,,,971.,1.12,2016-05-10,
Kepler-1336,23.198681,,,,822.,0.94,2016-05-10,
Kepler-1336,5.77721211,,,,822.,0.94,2016-05-10,
Kepler-1361,3.57554956,,,,404.,0.83,2016-05-10,
Kepler-1558,3.50470358,,,,343.,0.83,2016-05-10,
Kepler-47,49.532,0.2962,0.035,2.,1500.,1.05,2014-05-14,
Kepler-47,303.137,0.991,0.411,28.,1500.,1.05,2014-05-14,
Kepler-1620,101.951829,,,,773.,1.15,2016-05-10,
Kepler-1509,25.4338197,,,,1277.,1.,2016-05-10,
Kepler-222,10.08881,0.091,,,,,2014-05-14,
Kepler-222,3.936981,0.048,,,,,2014-05-14,
Kepler-222,28.081912,0.18,,,,,2014-05-14,
Kepler-894,9.803224,,,,1090.,0.87,2016-05-10,
Kepler-1344,4.7683049,,,,851.,1.09,2016-05-10,
Kepler-1306,16.29595382,,,,1130.,0.98,2016-05-10,
Kepler-1140,24.0862707,,,,657.,0.76,2016-05-10,
Kepler-902,40.1099547,,,,904.,0.95,2016-05-10,
Kepler-490,3.26869515,,,,1249.,1.08,2016-05-10,
Kepler-309,105.356383,0.401,,,,,2014-05-14,
Kepler-309,5.923653,0.059,,,,,2014-05-14,
Kepler-87,114.73635,0.481,0.036,1.02,,1.1,2014-05-14,
Kepler-87,191.2318,0.676,0.039,0.02,,1.1,2014-05-14,
Kepler-1184,53.5991044,,,,1193.,1.05,2016-05-10,
Kepler-1228,0.57736958,,,,547.,0.78,2016-05-10,
Kepler-1259,0.66308526,,,,704.,0.8,2016-05-10,
Kepler-1022,10.99469878,,,,455.,0.71,2016-05-10,
Kepler-938,52.6298417,,,,861.,0.92,2016-05-10,
KIC 10001893,0.2197,,,,,,2014-10-03,
KIC 10001893,0.81161,,,,,,2014-10-03,
KIC 10001893,0.32528,,,,,,2014-10-03,
HD 141399,5000.,5.,0.26,0.66,36.2,1.07,2016-02-25,27.65
HD 141399,1069.8,2.09,0.074,1.18,36.2,1.07,2016-02-25,27.65
HD 141399,201.99,0.689,0.048,1.33,36.2,1.07,2016-02-25,27.65
HD 141399,94.44,0.415,0.04,0.451,36.2,1.07,2016-02-25,27.65
Kepler-310,13.930698,0.111,,,,0.85,2014-05-14,
Kepler-310,56.47542,0.281,,,,0.85,2014-05-14,
Kepler-310,92.876125,0.392,,,,0.85,2014-05-14,
Kepler-163,21.347262,0.152,,,,0.96,2014-05-14,
Kepler-163,7.810937,0.078,,,,0.96,2014-05-14,
Kepler-1229,86.828989,,,,236.,0.54,2016-05-10,
Kepler-1046,14.37508035,,,,518.,1.04,2016-05-10,
Kepler-900,6.9913086,,,,505.,0.78,2016-05-10,
HAT-P-44,4.301219,0.0507,0.044,0.352,363.,0.94,2014-05-14,
HAT-P-44,872.2,1.752,0.494,4.,363.,0.94,2014-05-14,
Kepler-1583,9.32807355,,,,357.,0.94,2016-05-10,
Kepler-1297,1.68189002,,,,996.,0.99,2016-05-10,
Kepler-939,14.878296,,,,1029.,0.88,2016-05-10,
Kepler-1543,6.96710269,,,,1114.,1.39,2016-05-10,
Kepler-1287,11.47685909,,,,1027.,0.96,2016-05-10,
Kepler-1443,2.41811321,,,,475.,1.19,2016-05-10,
Kepler-1397,47.449955,,,,770.,1.09,2016-05-10,
Kepler-1265,6.49441289,,,,581.,0.71,2016-05-10,
HD 154345,3342.,4.19,0.044,0.947,18.06,,2014-05-14,55.37
Kepler-311,9.176092,0.087,,,,1.06,2014-05-14,
Kepler-311,19.738286,0.145,,,,1.06,2014-05-14,
Kepler-1000,120.0181272,,,,925.,1.4,2016-05-10,
Kepler-1186,16.07677615,,,,1112.,0.95,2016-05-10,
Kepler-1092,58.6017925,,,,914.,0.99,2016-05-10,
Kepler-334,25.09849,0.168,,,,1.,2014-05-14,
Kepler-334,12.758005,0.107,,,,1.,2014-05-14,
Kepler-334,5.470319,0.061,,,,1.,2014-05-14,
Kepler-765,27.6655226,,,,1000.,1.05,2016-05-10,
Kepler-763,1.19655156,,,,902.,0.84,2016-05-10,
Kepler-267,3.353728,0.037,,,,0.56,2014-05-14,
Kepler-267,6.87745,0.06,,,,0.56,2014-05-14,
Kepler-267,28.464515,0.154,,,,0.56,2014-05-14,
Kepler-337,3.292781,0.045,,,,0.96,2014-05-14,
Kepler-337,9.693201,0.093,,,,0.96,2014-05-14,
Kepler-764,7.33683936,,,,1013.,0.92,2016-05-10,
Kepler-1037,1.06378867,,,,451.,0.82,2016-05-10,
Kepler-1388,5.53608151,,,,492.,0.63,2016-05-10,
Kepler-1388,37.6327084,,,,492.,0.63,2016-05-10,
Kepler-1388,12.2854603,,,,492.,0.63,2016-05-10,
Kepler-1388,20.9568158,,,,492.,0.63,2016-05-10,
Kepler-744,12.06222443,,,,486.,0.94,2016-05-10,
Kepler-565,4.24374723,,,,1041.,0.98,2016-05-10,
Kepler-1019,1.41122985,,,,198.,0.7,2016-05-10,
Kepler-102,5.28696,,,0.001,,0.81,2014-05-14,
Kepler-102,16.1457,,,0.028,,0.81,2014-05-14,
Kepler-102,27.4536,,,0.002,,0.81,2014-05-14,
Kepler-102,10.3117,,,0.012,,0.81,2014-05-14,
Kepler-102,7.07142,,,0.009,,0.81,2014-05-14,
Kepler-941,17.42395198,,,,1105.,0.89,2016-05-10,
Kepler-989,7.96431535,,,,484.,0.82,2016-05-10,
Kepler-1199,15.0447198,,,,540.,0.94,2016-05-10,
Kepler-1144,17.14647302,,,,1012.,0.98,2016-05-10,
Kepler-549,117.040498,,,,648.,0.88,2016-05-10,
Kepler-549,42.9495649,,,,648.,0.88,2016-05-10,
Kepler-940,59.6225257,,,,1317.,0.97,2016-05-10,
Kepler-223,7.384108,0.073,,,,,2014-05-14,
Kepler-223,19.721734,0.14,,,,,2014-05-14,
Kepler-223,14.788759,0.116,,,,,2014-05-14,
Kepler-223,9.848183,0.088,,,,,2014-05-14,
Kepler-657,24.54350418,,,,1244.,1.01,2016-05-10,
Kepler-762,3.7705521,,,,1465.,1.06,2016-05-10,
Kepler-14,6.790123,,0.035,8.4,980.,1.51,2014-05-14,
HAT-P-13,446.27,,0.6616,14.28,214.,1.22,2014-05-16,
HAT-P-13,2.91625,,0.0133,0.851,214.,1.22,2014-10-15,
Kepler-224,18.643577,0.124,,,,0.74,2014-05-14,
Kepler-224,3.132924,0.038,,,,0.74,2014-05-14,
Kepler-224,5.925003,0.058,,,,0.74,2014-05-14,
Kepler-224,11.349393,0.089,,,,0.74,2014-05-14,
Kepler-525,18.68404933,,,,566.,0.95,2016-05-10,
Kepler-1219,16.10467749,,,,622.,1.25,2016-05-10,
Kepler-656,1.26025909,,,,867.,0.86,2016-05-10,
Kepler-526,5.45849832,,,,504.,1.15,2016-05-10,
Kepler-364,25.745718,0.178,,,,1.2,2014-05-14,
Kepler-364,59.980627,0.312,,,,1.2,2014-05-14,
Kepler-587,10.94027841,,,,852.,0.92,2016-05-10,
Kepler-527,13.28535633,,,,901.,1.28,2016-05-10,
Kepler-994,1.15116651,,,,170.,0.56,2016-05-10,
Kepler-332,34.21154,0.189,,,,0.8,2014-05-14,
Kepler-332,7.626324,0.07,,,,0.8,2014-05-14,
Kepler-332,15.995622,0.114,,,,0.8,2014-05-14,
Kepler-781,13.2140732,,,,1036.,0.81,2016-05-10,
Kepler-1146,2.3522658,,,,694.,0.74,2016-05-10,
Kepler-784,31.5922646,,,,604.,1.,2016-05-10,
Kepler-1168,55.8226539,,,,911.,0.87,2016-05-10,
Kepler-225,18.794234,0.111,,,,,2014-05-14,
Kepler-225,6.738975,0.056,,,,,2014-05-14,
Kepler-1545,163.692349,,,,688.,0.84,2016-05-10,
Kepler-1075,1.52372816,,,,265.,0.56,2016-05-10,
Kepler-623,9.07097734,,,,811.,0.9,2016-05-10,
Kepler-783,4.29264638,,,,544.,0.93,2016-05-10,
Kepler-1605,85.7565495,,,,224.,0.86,2016-05-10,
Kepler-29,10.3384,,,0.01419,1400.,0.98,2016-04-07,
Kepler-29,13.2884,,,0.01259,1400.,0.98,2016-04-07,
Kepler-94,820.3,,,9.836,,0.81,2014-05-14,
Kepler-94,2.50806,,,0.034,,0.81,2014-05-14,
Kepler-659,17.671796,,,,688.,0.79,2016-05-10,
Kepler-617,1.68269615,,,,150.,0.51,2016-05-10,
Kepler-40,6.87349,0.08,0.,2.2,2700.,1.48,2014-05-14,
Kepler-362,10.327186,0.087,,,,0.77,2014-05-14,
Kepler-362,37.866281,0.207,,,,0.77,2014-05-14,
Kepler-1371,2.00541269,,,,450.,0.87,2016-05-10,
Kepler-1371,3.4462039,,,,450.,0.87,2016-05-10,
Kepler-1043,38.5053398,,,,838.,0.92,2016-05-10,
Kepler-1577,6.30560247,,,,543.,0.78,2016-05-10,
Kepler-511,296.637865,,,,448.,1.,2016-05-10,
Kepler-658,1.28707676,,,,341.,0.63,2016-05-10,
Kepler-272,2.971353,0.038,,,,0.79,2014-05-14,
Kepler-272,10.937304,0.091,,,,0.79,2014-05-14,
Kepler-272,6.057342,0.061,,,,0.79,2014-05-14,
Kepler-125,4.164389,0.041,,,,0.55,2014-05-14,
Kepler-125,5.774464,0.051,,,,0.55,2014-05-14,
Kepler-164,10.945723,0.097,,,,1.11,2014-05-14,
Kepler-164,28.986769,0.187,,,,1.11,2014-05-14,
Kepler-164,5.03503,0.058,,,,1.11,2014-05-14,
Kepler-1253,68.8861915,,,,390.,0.97,2016-05-10,
Kepler-992,20.16034462,,,,268.,0.8,2016-05-10,
Kepler-981,4.46975774,,,,913.,0.98,2016-05-10,
Kepler-1395,3.78470649,,,,507.,1.17,2016-05-10,
Kepler-1284,0.66407381,,,,852.,0.84,2016-05-10,
Kepler-588,4.22162536,,,,972.,1.01,2016-05-10,
Kepler-1167,1.00393374,,,,811.,0.79,2016-05-10,
Kepler-273,2.936532,0.037,,,,,2014-05-14,
Kepler-273,8.014927,0.073,,,,,2014-05-14,
Kepler-660,9.27358194,,,,564.,0.75,2016-05-10,
Kepler-1141,2.34451194,,,,365.,1.01,2016-05-10,
Kepler-284,12.699149,0.104,,,,,2014-05-14,
Kepler-284,37.514456,0.213,,,,,2014-05-14,
Kepler-141,7.010606,0.067,,,,1.,2014-05-14,
Kepler-141,3.107675,0.039,,,,1.,2014-05-14,
Kepler-528,19.78297415,,,,711.,1.01,2016-05-10,
Kepler-1112,14.36267939,,,,1734.,1.34,2016-05-10,
Kepler-589,16.54964934,,,,643.,0.88,2016-05-10,
Kepler-782,158.6853308,,,,412.,0.98,2016-05-10,
Kepler-179,6.40013,0.064,,,,,2014-05-14,
Kepler-179,2.735926,0.036,,,,,2014-05-14,
KIC 10525077,854.083,,,,,1.01,2016-01-05,
Kepler-1049,3.27346074,,,,129.,0.51,2016-05-10,
Kepler-1578,1.45088691,,,,1016.,0.9,2016-05-10,
Kepler-165,15.31299,0.11,,,,,2014-05-14,
Kepler-165,8.180848,0.072,,,,,2014-05-14,
Kepler-1179,2.68505749,,,,454.,0.84,2016-05-10,
Kepler-566,18.42794624,,,,628.,0.83,2016-05-10,
Kepler-17,1.4857108,0.02591,0.011,2.45,800.,1.16,2014-05-14,
Kepler-1622,10.8118737,,,,927.,1.31,2016-05-10,
Kepler-811,23.58447697,,,,847.,1.01,2016-05-10,
Kepler-283,11.008151,0.082,,,,,2014-05-14,
Kepler-283,92.743711,0.341,,,,,2014-05-14,
Kepler-129,82.20017,0.393,,,,1.18,2014-05-14,
Kepler-129,15.79186,0.131,,,,1.18,2014-05-14,
Kepler-661,6.02930132,,,,558.,0.7,2016-05-10,
Kepler-550,8.60010411,,,,563.,0.87,2016-05-10,
Kepler-194,17.308032,0.131,,,,,2014-05-14,
Kepler-194,52.814973,0.275,,,,,2014-05-14,
Kepler-194,2.092281,0.032,,,,,2014-05-14,
Kepler-1415,0.63642408,,,,1066.,0.89,2016-05-10,
Kepler-1568,20.925392,,,,883.,1.09,2016-05-10,
Kepler-1151,65.6478424,,,,763.,0.88,2016-05-10,
Kepler-1367,1.57409027,,,,357.,0.62,2016-05-10,
Kepler-529,12.8345022,,,,787.,1.07,2016-05-10,
Kepler-529,1.98035766,,,,787.,1.07,2016-05-10,
Kepler-226,3.940997,0.047,,,,0.86,2014-05-14,
Kepler-226,8.109044,0.076,,,,0.86,2014-05-14,
Kepler-226,5.349555,0.058,,,,0.86,2014-05-14,
Kepler-815,8.57503552,,,,1199.,1.25,2016-05-10,
Kepler-22,289.8623,0.849,0.,0.113,190.,0.97,2014-05-14,
Kepler-1121,13.15141081,,,,529.,1.29,2016-05-10,
Kepler-369,14.871572,0.094,,,,0.54,2014-05-14,
Kepler-369,2.732756,0.03,,,,0.54,2014-05-14,
Kepler-662,21.67697486,,,,641.,0.79,2016-05-10,
Kepler-969,34.1731714,,,,411.,0.92,2016-05-10,
Kepler-969,1.6829346,,,,411.,0.92,2016-05-10,
Kepler-954,16.78176602,,,,224.,0.82,2016-05-10,
Kepler-663,4.99678284,,,,1030.,0.86,2016-05-10,
Kepler-1189,3.78858982,,,,883.,1.11,2016-05-10,
Kepler-1453,47.1611696,,,,1284.,0.97,2016-05-10,
Kepler-917,2.97041437,,,,1027.,0.8,2016-05-10,
Kepler-1594,2.71603809,,,,1100.,1.06,2016-05-10,
Kepler-195,34.096863,0.197,,,,,2014-05-14,
Kepler-195,8.307872,0.077,,,,,2014-05-14,
HAT-P-7,2.2047354,0.0355,0.,1.781,320.,1.47,2015-10-15,
Kepler-1069,23.8990296,,,,435.,0.99,2016-05-10,
Kepler-1588,7.84931739,,,,658.,0.96,2016-05-10,
Kepler-1191,5.60014851,,,,876.,0.85,2016-05-10,
Kepler-1590,7.61760804,,,,900.,1.11,2016-05-10,
Kepler-809,55.63934,,,,933.,0.99,2016-05-10,
HAT-P-3,2.899736,0.03866,0.,0.591,138.,0.92,2014-05-14,
Kepler-1541,8.40691199,,,,414.,0.86,2016-05-10,
Kepler-1644,21.0907758,,,,592.,0.89,2016-05-10,
Kepler-117,50.790391,0.2804,0.0323,1.84,1430.,1.13,2014-11-19,
Kepler-117,18.7959228,0.1445,0.0493,0.094,1430.,1.13,2014-11-19,
Kepler-551,12.3764661,,,,312.,0.65,2016-05-10,
Kepler-618,3.59576964,,,,1115.,1.05,2016-05-10,
Kepler-285,2.633867,0.036,,,,0.85,2014-05-14,
Kepler-285,6.186676,0.064,,,,0.85,2014-05-14,
Kepler-1102,51.3285623,,,,986.,0.96,2016-05-10,
HAT-P-11,4.8878162,0.053,0.198,0.081,38.,0.81,2014-05-14,
Kepler-810,4.59725385,,,,1554.,1.03,2016-05-10,
Kepler-375,19.986326,0.141,,,,0.89,2014-05-14,
Kepler-375,12.125934,0.101,,,,0.89,2014-05-14,
Kepler-482,56.35418576,,,,290.,0.75,2016-05-10,
Kepler-807,117.93108781,,,,1312.,1.04,2016-05-10,
Kepler-1040,201.1214,,,,473.,0.98,2016-05-10,
Kepler-227,54.418694,0.29,,,,,2014-05-14,
Kepler-227,9.488015,0.09,,,,,2014-05-14,
Kepler-1637,6.10960324,,,,506.,1.02,2016-05-10,
Kepler-1530,2.5904434,,,,552.,0.92,2016-05-10,
Kepler-1530,5.3227406,,,,552.,0.92,2016-05-10,
Kepler-1515,214.3114164,,,,504.,1.3,2016-05-10,
Kepler-1215,4.76703963,,,,701.,0.95,2016-05-10,
Kepler-812,10.11716531,,,,1482.,1.45,2016-05-10,
Kepler-107,3.179997,0.044,,,,,2014-05-14,
Kepler-107,14.749049,0.123,,,,,2014-05-14,
Kepler-107,7.958203,0.082,,,,,2014-05-14,
Kepler-107,4.901425,0.059,,,,,2014-05-14,
Kepler-1210,8.07124073,,,,1155.,0.94,2016-05-10,
Kepler-228,2.566546,0.038,,,,,2014-05-14,
Kepler-228,4.134444,0.052,,,,,2014-05-14,
Kepler-228,11.094286,0.101,,,,,2014-05-14,
Kepler-664,2.52559332,,,,1386.,1.01,2016-05-10,
Kepler-590,5.85296257,,,,986.,1.1,2016-05-10,
Kepler-6,3.2346996,0.04852,,0.668,,1.21,2015-10-15,
Kepler-552,5.26341577,,,,834.,1.03,2016-05-10,
Kepler-414,4.7,,,0.011,,0.89,2014-05-28,
Kepler-414,7.171,,,0.094,,0.89,2014-05-28,
Kepler-1390,6.48021673,,,,760.,0.98,2016-05-10,
Kepler-1084,2.05333679,,,,427.,1.12,2016-05-10,
Kepler-153,46.90232,0.237,,,,,2014-05-14,
Kepler-153,18.870227,0.129,,,,,2014-05-14,
Kepler-1510,84.703921,,,,1615.,1.19,2016-05-10,
Kepler-918,4.85386933,,,,1245.,1.11,2016-05-10,
Kepler-1329,9.33646594,,,,624.,0.72,2016-05-10,
Kepler-1099,2.16845259,,,,1209.,1.01,2016-05-10,
Kepler-358,34.060467,0.21,,,,0.95,2014-05-14,
Kepler-358,83.488369,0.381,,,,0.95,2014-05-14,
Kepler-432,52.501129,0.301,0.5134,5.41,870.,1.32,2015-04-30,
Kepler-432,406.2,,0.498,2.43,870.,1.32,2015-04-30,
Kepler-286,1.796302,0.027,,,,,2014-05-14,
Kepler-286,3.468095,0.042,,,,,2014-05-14,
Kepler-286,29.221289,0.176,,,,,2014-05-14,
Kepler-286,5.914323,0.061,,,,,2014-05-14,
Kepler-567,16.54297375,,,,568.,0.84,2016-05-10,
Kepler-1138,3.17060005,,,,1101.,0.95,2016-05-10,
Kepler-1440,39.859484,,,,685.,0.98,2016-05-10,
Kepler-133,31.517586,0.204,,,,,2014-05-14,
Kepler-133,8.129976,0.083,,,,,2014-05-14,
Kepler-553,4.03046804,,,,725.,0.92,2016-05-10,
Kepler-553,328.2399546,,,,725.,0.92,2016-05-10,
Kepler-1293,5.57654784,,,,770.,1.18,2016-05-10,
Kepler-1422,18.6051942,,,,2081.,1.15,2016-05-10,
Kepler-488,3.12082923,,,,1157.,1.07,2016-05-10,
Kepler-114,11.776,,,0.012,,0.56,2014-05-14,
Kepler-114,5.188549,0.053,,,,0.56,2014-05-14,
Kepler-114,8.041,,,0.009,,0.56,2014-05-14,
Kepler-101,6.02976,0.0684,0.,0.01,,1.17,2014-09-25,
Kepler-101,3.4876812,0.0474,0.086,0.16,,1.17,2014-09-25,
Kepler-1339,1.34155513,,,,267.,0.94,2016-05-10,
Kepler-229,41.194912,0.22,,,,,2014-05-14,
Kepler-229,16.068638,0.117,,,,,2014-05-14,
Kepler-229,6.252972,0.062,,,,,2014-05-14,
Kepler-568,11.02347475,,,,126.,0.55,2016-05-10,
Kepler-619,5.4042722,,,,1111.,1.09,2016-05-10,
Kepler-619,1.20846503,,,,1111.,1.09,2016-05-10,
Kepler-1645,16.1779561,,,,844.,1.02,2016-05-10,
Kepler-408,2.46502,,,0.002,,1.08,2014-05-14,
Kepler-1132,62.8916228,,,,940.,0.87,2016-05-10,
Kepler-814,6.1469851,,,,1327.,1.15,2016-05-10,
Kepler-591,81.1694299,,,,793.,0.97,2016-05-10,
Kepler-813,19.12947337,,,,840.,0.95,2016-05-10,
Kepler-287,20.342199,0.145,,,,,2014-05-14,
Kepler-287,44.851896,0.246,,,,,2014-05-14,
Kepler-339,10.558345,0.091,,,,0.84,2014-05-14,
Kepler-339,4.977656,0.055,,,,0.84,2014-05-14,
Kepler-339,6.988055,0.069,,,,0.84,2014-05-14,
Kepler-808,0.63133235,,,,321.,0.76,2016-05-10,
Kepler-665,16.01310205,,,,651.,0.79,2016-05-10,
Kepler-142,2.024152,0.032,,,,0.99,2014-05-14,
Kepler-142,41.809118,0.242,,,,0.99,2014-05-14,
Kepler-142,4.761702,0.057,,,,0.99,2014-05-14,
Kepler-919,11.04603384,,,,1219.,1.15,2016-05-10,
Kepler-466,51.07926307,,,,436.,1.04,2016-05-10,
Kepler-466,3.70921385,,,,436.,1.04,2016-05-10,
Kepler-230,91.773242,0.38,,,,,2014-05-14,
Kepler-230,32.625555,0.191,,,,,2014-05-14,
Kepler-1281,3.11602791,,,,1090.,0.87,2016-05-10,
Kepler-849,394.6244904,,,,747.,1.23,2016-05-10,
Kepler-1638,259.33683,,,,879.,0.97,2016-05-10,
Kepler-1421,6.9131112,,,,675.,1.25,2016-05-10,
Kepler-530,39.30941904,,,,464.,0.97,2016-05-10,
Kepler-569,34.18890521,,,,645.,0.95,2016-05-10,
